epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,469.132,0.45456,0.45008,0.86155,0.94259,0.92873,0.97032,0.91785,0.3379,0.35823,0.73908,0.008713,0.008713,0.008713
15,504.025,0.44529,0.43627,0.85683,0.93182,0.89766,0.95906,0.89342,0.35997,0.41197,0.7421,0.008614,0.008614,0.008614
16,538.81,0.43913,0.43003,0.85707,0.94008,0.93315,0.97126,0.90832,0.36038,0.35504,0.73994,0.008515,0.008515,0.008515
17,573.638,0.42884,0.42225,0.85491,0.93308,0.92595,0.96877,0.91104,0.34666,0.34813,0.74419,0.008416,0.008416,0.008416
18,608.401,0.42758,0.41701,0.85366,0.9423,0.93619,0.97202,0.9193,0.32604,0.32653,0.73208,0.008317,0.008317,0.008317
19,642.356,0.41975,0.41037,0.85311,0.94339,0.92637,0.97362,0.92413,0.31831,0.34399,0.73205,0.008218,0.008218,0.008218
20,676.434,0.41672,0.40785,0.85205,0.94126,0.94491,0.97541,0.93135,0.30176,0.31646,0.72811,0.008119,0.008119,0.008119
21,710.189,0.40968,0.39813,0.85012,0.9545,0.93956,0.97728,0.93254,0.30515,0.30795,0.72523,0.00802,0.00802,0.00802
22,744.234,0.4052,0.39421,0.84951,0.94884,0.93303,0.97426,0.91268,0.34338,0.34507,0.74243,0.007921,0.007921,0.007921
23,778.133,0.40084,0.39125,0.84766,0.95276,0.94596,0.97726,0.93157,0.30253,0.30324,0.72751,0.007822,0.007822,0.007822
24,811.921,0.40024,0.3898,0.84714,0.95603,0.93748,0.97628,0.92824,0.31041,0.31254,0.73208,0.007723,0.007723,0.007723
25,845.824,0.39429,0.38262,0.84632,0.95419,0.93492,0.97677,0.93004,0.30043,0.31769,0.72553,0.007624,0.007624,0.007624
26,879.588,0.38626,0.37822,0.84588,0.95578,0.92881,0.97491,0.92361,0.31677,0.32368,0.73392,0.007525,0.007525,0.007525
27,913.35,0.38503,0.37676,0.84509,0.95395,0.93325,0.97492,0.92867,0.30366,0.31145,0.73106,0.007426,0.007426,0.007426
28,947.162,0.38534,0.37517,0.8447,0.94375,0.95015,0.97738,0.93828,0.28343,0.29757,0.72486,0.007327,0.007327,0.007327
29,980.912,0.37965,0.36764,0.84283,0.95044,0.94565,0.97599,0.93451,0.28582,0.29514,0.72135,0.007228,0.007228,0.007228
30,1014.76,0.37581,0.36467,0.84114,0.9552,0.93094,0.97839,0.94101,0.28519,0.29742,0.72671,0.007129,0.007129,0.007129
31,1048.51,0.36981,0.36161,0.84083,0.95707,0.94886,0.9779,0.9435,0.27113,0.2794,0.71804,0.00703,0.00703,0.00703
32,1082.36,0.36794,0.36149,0.83894,0.94891,0.94959,0.97472,0.93993,0.27629,0.29669,0.72411,0.006931,0.006931,0.006931
33,1116.16,0.36537,0.35767,0.83942,0.95779,0.94016,0.97863,0.94137,0.28283,0.3026,0.72416,0.006832,0.006832,0.006832
34,1150.01,0.36525,0.35653,0.83796,0.95569,0.9485,0.97831,0.94323,0.27227,0.2738,0.71912,0.006733,0.006733,0.006733
35,1183.68,0.36119,0.35275,0.83672,0.9548,0.94358,0.97816,0.94447,0.26624,0.28498,0.72074,0.006634,0.006634,0.006634
36,1217.4,0.36078,0.35198,0.84007,0.95784,0.94609,0.97768,0.94261,0.26445,0.27403,0.7209,0.006535,0.006535,0.006535
37,1251.48,0.3595,0.35066,0.83885,0.95937,0.95423,0.98069,0.947,0.26345,0.26878,0.71908,0.006436,0.006436,0.006436
38,1285.31,0.35538,0.34554,0.83713,0.96293,0.94764,0.98155,0.95204,0.25498,0.26968,0.71447,0.006337,0.006337,0.006337
39,1319.14,0.35486,0.34593,0.83716,0.958,0.94473,0.98004,0.93385,0.29854,0.29582,0.72706,0.006238,0.006238,0.006238
40,1352.8,0.35045,0.34087,0.83602,0.9607,0.94966,0.98031,0.94022,0.27558,0.2708,0.7191,0.006139,0.006139,0.006139
41,1386.26,0.34732,0.33996,0.83542,0.96523,0.94298,0.97856,0.94118,0.27112,0.27532,0.71918,0.00604,0.00604,0.00604
42,1420.21,0.34712,0.33878,0.83577,0.96553,0.93997,0.97837,0.93798,0.27492,0.26944,0.71945,0.005941,0.005941,0.005941
43,1453.95,0.34533,0.33656,0.83515,0.96106,0.9438,0.98132,0.93879,0.2903,0.2932,0.72372,0.005842,0.005842,0.005842
44,1487.81,0.34293,0.33467,0.83456,0.96315,0.95412,0.98141,0.95198,0.25106,0.25611,0.71484,0.005743,0.005743,0.005743
45,1521.68,0.3382,0.32889,0.83328,0.95704,0.95022,0.97944,0.93275,0.29517,0.27671,0.726,0.005644,0.005644,0.005644
46,1555.69,0.33963,0.33157,0.83312,0.96863,0.94752,0.98214,0.95427,0.24449,0.25676,0.71186,0.005545,0.005545,0.005545
47,1588.95,0.33805,0.32968,0.83288,0.96491,0.94487,0.98,0.94661,0.25845,0.27319,0.7172,0.005446,0.005446,0.005446
48,1622.24,0.33534,0.32609,0.83231,0.96398,0.94555,0.98128,0.94605,0.27616,0.27701,0.72797,0.005347,0.005347,0.005347
49,1655.3,0.33148,0.32247,0.83134,0.96424,0.94744,0.98101,0.95024,0.25419,0.27168,0.71526,0.005248,0.005248,0.005248
50,1688.24,0.32931,0.32279,0.82961,0.9616,0.95198,0.98124,0.95223,0.2422,0.2562,0.71349,0.005149,0.005149,0.005149
51,1721.21,0.33063,0.32048,0.83249,0.9722,0.93827,0.98037,0.94621,0.25787,0.27465,0.71754,0.00505,0.00505,0.00505
52,1754.21,0.32649,0.3187,0.83071,0.96447,0.95239,0.98186,0.95033,0.25155,0.25766,0.71602,0.004951,0.004951,0.004951
53,1786.65,0.32467,0.31633,0.82883,0.96079,0.95775,0.98062,0.95306,0.23731,0.24397,0.71227,0.004852,0.004852,0.004852
54,1819.63,0.32141,0.3148,0.83065,0.96815,0.95338,0.98299,0.9554,0.2399,0.24723,0.71293,0.004753,0.004753,0.004753
55,1852.71,0.3217,0.31652,0.82889,0.9662,0.95448,0.98276,0.95384,0.24621,0.24855,0.71342,0.004654,0.004654,0.004654
56,1885.69,0.31688,0.31051,0.82903,0.96407,0.95602,0.98158,0.94576,0.26059,0.25692,0.71704,0.004555,0.004555,0.004555
57,1918.6,0.31697,0.31111,0.82825,0.97008,0.95108,0.98166,0.94923,0.25325,0.25191,0.71628,0.004456,0.004456,0.004456
58,1951.67,0.31687,0.30813,0.82835,0.9679,0.95249,0.98219,0.94816,0.25701,0.25318,0.71634,0.004357,0.004357,0.004357
59,1984.65,0.31387,0.30716,0.82771,0.96662,0.96162,0.98351,0.95992,0.22259,0.23386,0.70863,0.004258,0.004258,0.004258
60,2017.71,0.3176,0.31001,0.82894,0.97154,0.95099,0.98185,0.95179,0.24416,0.2468,0.71358,0.004159,0.004159,0.004159
61,2050.81,0.30844,0.30317,0.8258,0.9694,0.95063,0.9819,0.94606,0.25543,0.2518,0.71602,0.00406,0.00406,0.00406
62,2084.15,0.31,0.30357,0.82666,0.9677,0.95909,0.98271,0.957,0.22947,0.24162,0.70965,0.003961,0.003961,0.003961
63,2117.16,0.30903,0.30299,0.82719,0.97177,0.95896,0.9828,0.95834,0.22608,0.22923,0.70922,0.003862,0.003862,0.003862
64,2150.63,0.30456,0.29791,0.82537,0.97315,0.95479,0.98296,0.95382,0.23816,0.24512,0.71138,0.003763,0.003763,0.003763
65,2183.57,0.30429,0.29943,0.82548,0.96652,0.95695,0.98274,0.95441,0.23745,0.24281,0.71192,0.003664,0.003664,0.003664
66,2216.62,0.30162,0.29656,0.82466,0.97331,0.95163,0.98318,0.95553,0.23146,0.24376,0.71131,0.003565,0.003565,0.003565
67,2250.19,0.30335,0.29729,0.8255,0.9662,0.95923,0.98328,0.95774,0.22915,0.23913,0.70973,0.003466,0.003466,0.003466
68,2283.05,0.29773,0.29247,0.82486,0.9706,0.95637,0.98369,0.95881,0.22703,0.23304,0.70801,0.003367,0.003367,0.003367
69,2316.25,0.29894,0.29286,0.8252,0.97144,0.95442,0.98352,0.96008,0.22179,0.2313,0.70762,0.003268,0.003268,0.003268
70,2349.47,0.29666,0.29066,0.82503,0.97221,0.95574,0.98342,0.95778,0.23014,0.2351,0.71037,0.003169,0.003169,0.003169
71,2382.47,0.29522,0.29065,0.8246,0.97125,0.95553,0.98386,0.95561,0.23218,0.23747,0.70998,0.00307,0.00307,0.00307
72,2415.47,0.29288,0.289,0.82284,0.97359,0.95828,0.98356,0.95606,0.23337,0.23599,0.71046,0.002971,0.002971,0.002971
73,2448.24,0.2904,0.28697,0.82398,0.97301,0.95798,0.98422,0.96075,0.22355,0.23291,0.70847,0.002872,0.002872,0.002872
74,2481.32,0.29101,0.2855,0.82231,0.97131,0.95806,0.98467,0.95895,0.22541,0.23408,0.70848,0.002773,0.002773,0.002773
75,2514.34,0.29037,0.28479,0.82343,0.96887,0.95864,0.98421,0.95839,0.22652,0.23281,0.70869,0.002674,0.002674,0.002674
76,2547.26,0.28787,0.28392,0.82273,0.97465,0.95888,0.98424,0.95882,0.22429,0.22773,0.70812,0.002575,0.002575,0.002575
77,2580.31,0.28684,0.28095,0.82168,0.97592,0.95443,0.98465,0.96027,0.22309,0.23103,0.70767,0.002476,0.002476,0.002476
78,2613.29,0.28421,0.27947,0.82161,0.9721,0.95737,0.98408,0.95939,0.22595,0.23537,0.70866,0.002377,0.002377,0.002377
79,2646.55,0.28365,0.27962,0.82171,0.97507,0.95595,0.98445,0.95924,0.2243,0.22918,0.70835,0.002278,0.002278,0.002278
80,2679.8,0.28107,0.27692,0.82144,0.97418,0.95955,0.98453,0.96168,0.21876,0.22418,0.70692,0.002179,0.002179,0.002179
81,2713.22,0.27945,0.27575,0.82135,0.97313,0.96045,0.98471,0.95948,0.22473,0.22778,0.70808,0.00208,0.00208,0.00208
82,2746.24,0.27454,0.27151,0.81955,0.97484,0.95654,0.98432,0.95912,0.22446,0.23391,0.70848,0.001981,0.001981,0.001981
83,2778.72,0.27577,0.27168,0.81932,0.97285,0.96323,0.98527,0.96292,0.2154,0.22433,0.70679,0.001882,0.001882,0.001882
84,2811.74,0.27545,0.27178,0.82067,0.97529,0.96181,0.98526,0.96106,0.21936,0.22436,0.70662,0.001783,0.001783,0.001783
85,2844.72,0.2747,0.27011,0.81994,0.97453,0.96045,0.98467,0.96125,0.21806,0.22342,0.70647,0.001684,0.001684,0.001684
86,2877.63,0.27053,0.2686,0.81922,0.97478,0.96125,0.98482,0.96118,0.21903,0.22326,0.70673,0.001585,0.001585,0.001585
87,2910.53,0.2707,0.26685,0.81876,0.9745,0.95966,0.9847,0.96003,0.22174,0.22568,0.70689,0.001486,0.001486,0.001486
88,2943.54,0.27234,0.26766,0.81962,0.97335,0.96136,0.98504,0.96168,0.21771,0.2258,0.70628,0.001387,0.001387,0.001387
89,2976.78,0.26859,0.266,0.81866,0.97422,0.95841,0.98484,0.96209,0.21696,0.2261,0.70632,0.001288,0.001288,0.001288
90,3010.17,0.26927,0.26411,0.81779,0.97635,0.95628,0.9846,0.96067,0.21943,0.23146,0.70685,0.001189,0.001189,0.001189
91,3054.09,0.2272,0.22639,0.78373,0.97187,0.96057,0.98442,0.9637,0.21077,0.22531,0.70546,0.00109,0.00109,0.00109
92,3086.37,0.21728,0.21528,0.7808,0.97507,0.95724,0.98321,0.96055,0.21529,0.22724,0.70617,0.000991,0.000991,0.000991
93,3118.8,0.21388,0.21128,0.78336,0.97461,0.95675,0.98341,0.96037,0.21581,0.22792,0.70629,0.000892,0.000892,0.000892
94,3151.13,0.21122,0.20897,0.78183,0.97656,0.95642,0.98405,0.96101,0.21662,0.22915,0.7065,0.000793,0.000793,0.000793
95,3183.57,0.20928,0.20741,0.78092,0.97663,0.95762,0.98449,0.96152,0.217,0.22823,0.70659,0.000694,0.000694,0.000694
96,3216.18,0.20796,0.20716,0.78214,0.97772,0.95728,0.98447,0.962,0.21548,0.22783,0.70637,0.000595,0.000595,0.000595
97,3248.67,0.20537,0.20393,0.78097,0.97892,0.95559,0.98391,0.96111,0.21651,0.22896,0.70635,0.000496,0.000496,0.000496
98,3281.24,0.20269,0.20344,0.78123,0.97959,0.95572,0.98377,0.96154,0.21481,0.2283,0.70605,0.000397,0.000397,0.000397
99,3313.74,0.19836,0.1984,0.77995,0.98008,0.95635,0.98401,0.9618,0.21377,0.22733,0.70585,0.000298,0.000298,0.000298
100,3346.35,0.19789,0.19748,0.78014,0.97713,0.95767,0.98382,0.96163,0.21334,0.22656,0.70581,0.000199,0.000199,0.000199
