epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.2962,1.04215,2.50024,1.12342,0.79796,0.66461,0.77865,0.6283,0.70588,1.45176,0.86577,0.00330357,0.00330357,0.00330357
2,65.6754,0.75737,0.96527,0.96037,0.86871,0.86121,0.91324,0.75195,0.62839,0.70841,0.81498,0.0065712,0.0065712,0.0065712
3,98.1334,0.72318,0.8315,0.93856,0.84482,0.84817,0.89464,0.73909,0.65577,0.83064,0.84078,0.00977283,0.00977283,0.00977283
4,130.481,0.67669,0.7446,0.92502,0.88923,0.87903,0.92758,0.79623,0.53013,0.60655,0.78827,0.009703,0.009703,0.009703
5,163.122,0.62068,0.66285,0.90617,0.90516,0.89467,0.94528,0.84166,0.44618,0.49891,0.75977,0.009604,0.009604,0.009604
6,195.607,0.5783,0.60224,0.8944,0.91271,0.90117,0.95263,0.86005,0.44287,0.48291,0.76367,0.009505,0.009505,0.009505
7,227.832,0.54887,0.56499,0.88679,0.92076,0.91321,0.95858,0.8736,0.40886,0.44025,0.75415,0.009406,0.009406,0.009406
8,261.716,0.52807,0.53392,0.87995,0.92068,0.91326,0.95842,0.88189,0.39643,0.4135,0.74656,0.009307,0.009307,0.009307
9,294.897,0.50668,0.51063,0.87473,0.92349,0.91551,0.96473,0.89545,0.37609,0.40589,0.74571,0.009208,0.009208,0.009208
10,328.787,0.48933,0.49177,0.87126,0.93665,0.91056,0.96349,0.88942,0.38448,0.39873,0.7493,0.009109,0.009109,0.009109
11,364.236,0.48565,0.48263,0.87108,0.91871,0.9042,0.95963,0.89186,0.36961,0.42222,0.74332,0.00901,0.00901,0.00901
12,399.231,0.474,0.46974,0.8685,0.91959,0.92695,0.96427,0.90447,0.35402,0.36924,0.73831,0.008911,0.008911,0.008911
13,434.283,0.46121,0.45543,0.86503,0.93564,0.91894,0.96481,0.90058,0.35742,0.36337,0.74023,0.008812,0.008812,0.008812
