epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5193,1.22784,2.40947,1.20833,0.94641,0.39204,0.72993,0.55013,1.00533,2.31568,1.03267,0.000364887,0.000364887,0.000364887
2,23.7548,0.92383,1.10942,1.04273,0.86059,0.83595,0.91894,0.73135,0.8087,1.01413,0.90965,0.000724822,0.000724822,0.000724822
3,34.5692,0.82384,0.91669,1.00595,0.87547,0.86205,0.93601,0.77275,0.69756,0.75242,0.91408,0.00107428,0.00107428,0.00107428
4,45.4653,0.76476,0.84202,0.98755,0.90509,0.88033,0.95216,0.81015,0.65163,0.69668,0.8829,0.00106386,0.00106386,0.00106386
5,56.2253,0.72296,0.77021,0.97084,0.9273,0.91824,0.96372,0.8257,0.63453,0.65733,0.88612,0.00104815,0.00104815,0.00104815
6,67.2852,0.67877,0.70653,0.95507,0.93839,0.92076,0.97087,0.85747,0.56329,0.56671,0.84689,0.00103244,0.00103244,0.00103244
7,78.1368,0.64692,0.6604,0.94023,0.9179,0.93486,0.97101,0.87207,0.52743,0.54277,0.83753,0.00101672,0.00101672,0.00101672
8,88.9982,0.6329,0.6449,0.93677,0.91428,0.93953,0.96972,0.8641,0.54233,0.58629,0.85975,0.00100101,0.00100101,0.00100101
9,99.7668,0.60811,0.60738,0.92751,0.95583,0.94127,0.97854,0.89569,0.47384,0.47775,0.82429,0.000985298,0.000985298,0.000985298
10,110.663,0.59503,0.57952,0.92462,0.95015,0.93657,0.97875,0.86141,0.56437,0.50496,0.85855,0.000969586,0.000969586,0.000969586
11,121.666,0.59498,0.57388,0.92338,0.94506,0.93449,0.97426,0.88627,0.48161,0.50198,0.83963,0.000953873,0.000953873,0.000953873
12,132.567,0.56999,0.55324,0.91354,0.94547,0.95474,0.97728,0.89612,0.47519,0.49161,0.83733,0.00093816,0.00093816,0.00093816
13,143.428,0.55542,0.54268,0.91101,0.9632,0.94719,0.98128,0.88747,0.50732,0.47048,0.84487,0.000922447,0.000922447,0.000922447
14,154.447,0.55171,0.53262,0.90833,0.95193,0.95025,0.98166,0.90641,0.44871,0.43244,0.81816,0.000906735,0.000906735,0.000906735
15,165.417,0.52699,0.50725,0.89863,0.95796,0.9612,0.98494,0.90298,0.47717,0.42506,0.82234,0.000891022,0.000891022,0.000891022
16,176.307,0.52847,0.50368,0.90068,0.97431,0.95436,0.98637,0.92066,0.4193,0.40751,0.81499,0.000875309,0.000875309,0.000875309
17,187.333,0.52418,0.50009,0.89414,0.96491,0.95286,0.97966,0.91833,0.41399,0.40341,0.81465,0.000859597,0.000859597,0.000859597
18,198.248,0.51007,0.48747,0.89287,0.96715,0.9432,0.98157,0.91674,0.41841,0.4102,0.81674,0.000843884,0.000843884,0.000843884
19,209.137,0.50948,0.47858,0.89065,0.97146,0.95754,0.98512,0.92517,0.41274,0.38164,0.81358,0.000828171,0.000828171,0.000828171
20,220.097,0.49219,0.47098,0.88693,0.96581,0.96607,0.98658,0.92994,0.3899,0.36848,0.80288,0.000812458,0.000812458,0.000812458
21,231.188,0.49244,0.4645,0.88714,0.96831,0.96144,0.98487,0.92468,0.41181,0.36816,0.81316,0.000796746,0.000796746,0.000796746
22,242.235,0.47319,0.44945,0.88017,0.96896,0.96154,0.98563,0.91201,0.43982,0.39504,0.81993,0.000781033,0.000781033,0.000781033
23,253.226,0.4921,0.4551,0.88546,0.97201,0.96052,0.98768,0.93823,0.3679,0.34436,0.79883,0.00076532,0.00076532,0.00076532
24,264.179,0.4741,0.45163,0.88138,0.95,0.96168,0.9811,0.92392,0.39208,0.381,0.80475,0.000749608,0.000749608,0.000749608
25,275.106,0.46371,0.43302,0.87779,0.97078,0.95873,0.98565,0.93023,0.38687,0.3609,0.80695,0.000733895,0.000733895,0.000733895
26,286.049,0.46162,0.44,0.87909,0.97756,0.96369,0.98857,0.92952,0.40029,0.35195,0.80132,0.000718182,0.000718182,0.000718182
27,296.985,0.45645,0.42642,0.87516,0.97457,0.95938,0.98666,0.93589,0.37047,0.33933,0.79487,0.000702469,0.000702469,0.000702469
