epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,307.908,0.45472,0.42636,0.87536,0.97825,0.94369,0.98686,0.93718,0.37052,0.3522,0.79757,0.000686757,0.000686757,0.000686757
29,318.793,0.44389,0.42391,0.87107,0.98332,0.94329,0.98474,0.93212,0.36881,0.35522,0.79849,0.000671044,0.000671044,0.000671044
30,329.753,0.4453,0.41903,0.87059,0.97014,0.96088,0.98795,0.94608,0.349,0.33783,0.78893,0.000655331,0.000655331,0.000655331
31,340.743,0.43746,0.41492,0.87083,0.97674,0.96399,0.98858,0.94024,0.37213,0.33638,0.79914,0.000639619,0.000639619,0.000639619
32,351.67,0.42688,0.40068,0.86637,0.9743,0.95467,0.98627,0.93637,0.37991,0.35771,0.80335,0.000623906,0.000623906,0.000623906
33,362.703,0.43571,0.40542,0.86934,0.96972,0.9665,0.98867,0.94813,0.34237,0.32842,0.78915,0.000608193,0.000608193,0.000608193
34,373.603,0.42915,0.40057,0.87055,0.97764,0.95888,0.98847,0.94969,0.33231,0.323,0.78943,0.00059248,0.00059248,0.00059248
35,384.615,0.42387,0.40067,0.86778,0.97269,0.96819,0.98921,0.95249,0.33321,0.3234,0.79091,0.000576768,0.000576768,0.000576768
36,395.506,0.41219,0.38992,0.86457,0.98541,0.95643,0.98853,0.94731,0.3407,0.31574,0.78929,0.000561055,0.000561055,0.000561055
37,406.43,0.41079,0.38848,0.86096,0.97633,0.96403,0.98578,0.94171,0.35612,0.33794,0.79182,0.000545342,0.000545342,0.000545342
38,417.476,0.41966,0.39206,0.86707,0.98447,0.96282,0.98924,0.95103,0.33679,0.31494,0.78674,0.00052963,0.00052963,0.00052963
39,428.439,0.40279,0.37894,0.85846,0.97795,0.96297,0.98728,0.95461,0.31159,0.30581,0.77972,0.000513917,0.000513917,0.000513917
40,439.396,0.40529,0.38342,0.86036,0.98264,0.96352,0.98997,0.95306,0.31724,0.29653,0.78013,0.000498204,0.000498204,0.000498204
41,450.412,0.4059,0.37993,0.8603,0.98397,0.96381,0.98962,0.95249,0.32025,0.3067,0.78277,0.000482491,0.000482491,0.000482491
42,461.39,0.39779,0.37041,0.85766,0.98222,0.96757,0.98922,0.95669,0.31467,0.29585,0.78108,0.000466779,0.000466779,0.000466779
43,472.336,0.40195,0.37514,0.85935,0.9803,0.96714,0.99066,0.95461,0.3132,0.29974,0.78086,0.000451066,0.000451066,0.000451066
44,483.376,0.40241,0.37281,0.85985,0.98413,0.96684,0.98954,0.95155,0.33321,0.30475,0.78354,0.000435353,0.000435353,0.000435353
45,494.249,0.39248,0.36879,0.8589,0.97284,0.97297,0.98882,0.95744,0.30938,0.2975,0.78182,0.000419641,0.000419641,0.000419641
46,505.173,0.38566,0.36357,0.85567,0.97852,0.96899,0.98886,0.96029,0.29668,0.2902,0.77729,0.000403928,0.000403928,0.000403928
47,516.158,0.38588,0.36109,0.85498,0.98485,0.96896,0.98897,0.95984,0.30001,0.28716,0.77951,0.000388215,0.000388215,0.000388215
48,527.192,0.38358,0.35816,0.85341,0.98748,0.96453,0.98887,0.95749,0.30332,0.28747,0.77904,0.000372502,0.000372502,0.000372502
49,538.154,0.37392,0.35049,0.85135,0.98654,0.96481,0.98982,0.95865,0.30179,0.28355,0.77976,0.00035679,0.00035679,0.00035679
50,549.078,0.37609,0.35439,0.85183,0.98291,0.97027,0.98984,0.95832,0.30317,0.28852,0.77893,0.000341077,0.000341077,0.000341077
51,560.119,0.37337,0.35561,0.85351,0.9885,0.96166,0.98813,0.95081,0.32729,0.29685,0.78353,0.000325364,0.000325364,0.000325364
52,571.21,0.37829,0.35253,0.85274,0.97958,0.96849,0.98932,0.9593,0.29408,0.2855,0.7766,0.000309652,0.000309652,0.000309652
53,582.157,0.36964,0.34705,0.85084,0.9825,0.97143,0.99031,0.9603,0.29994,0.28757,0.77938,0.000293939,0.000293939,0.000293939
54,593.263,0.36582,0.34632,0.84775,0.97766,0.9741,0.98954,0.96168,0.28473,0.27905,0.77471,0.000278226,0.000278226,0.000278226
55,604.236,0.36248,0.34525,0.85184,0.98154,0.9688,0.98967,0.95933,0.29325,0.28105,0.77538,0.000262513,0.000262513,0.000262513
56,615.224,0.35965,0.34066,0.85133,0.98001,0.97284,0.98988,0.96277,0.27673,0.27392,0.77167,0.000246801,0.000246801,0.000246801
57,626.26,0.35451,0.33611,0.84989,0.98302,0.96779,0.98926,0.95961,0.29733,0.28351,0.7775,0.000231088,0.000231088,0.000231088
58,637.288,0.35927,0.34082,0.849,0.98063,0.97354,0.98944,0.95934,0.29589,0.28002,0.77818,0.000215375,0.000215375,0.000215375
59,648.281,0.35743,0.33792,0.84572,0.98333,0.97404,0.98933,0.9603,0.29218,0.2759,0.77795,0.000199663,0.000199663,0.000199663
60,659.269,0.35365,0.3371,0.84786,0.9852,0.97142,0.98975,0.96219,0.28261,0.26896,0.77333,0.00018395,0.00018395,0.00018395
61,686.746,0.31309,0.29041,0.81413,0.98334,0.96817,0.9888,0.96005,0.2869,0.27814,0.77395,0.000168237,0.000168237,0.000168237
62,697.48,0.28662,0.26934,0.80638,0.96813,0.95458,0.98701,0.96135,0.2785,0.28223,0.77293,0.000152524,0.000152524,0.000152524
63,708.234,0.27803,0.26475,0.8073,0.9793,0.97522,0.98961,0.96187,0.28185,0.27154,0.77337,0.000136812,0.000136812,0.000136812
64,719.02,0.27138,0.25714,0.80867,0.98593,0.9721,0.98936,0.96418,0.27481,0.2656,0.77173,0.000121099,0.000121099,0.000121099
65,729.768,0.26743,0.25689,0.80381,0.98271,0.9743,0.99002,0.96523,0.26883,0.26454,0.77065,0.000105386,0.000105386,0.000105386
66,740.54,0.26733,0.25509,0.8056,0.98272,0.97654,0.98989,0.9644,0.27734,0.26551,0.7734,8.96736e-05,8.96736e-05,8.96736e-05
67,751.447,0.26329,0.25449,0.80309,0.98421,0.97253,0.98988,0.96577,0.26971,0.26177,0.77097,7.39609e-05,7.39609e-05,7.39609e-05
68,762.272,0.25775,0.24846,0.80316,0.98257,0.97665,0.99037,0.96584,0.26829,0.2594,0.77021,5.82481e-05,5.82481e-05,5.82481e-05
69,773.149,0.25647,0.24599,0.80152,0.98139,0.97651,0.99021,0.96505,0.2662,0.25497,0.77034,4.25354e-05,4.25354e-05,4.25354e-05
70,783.969,0.25002,0.24014,0.80194,0.9835,0.97444,0.99009,0.96676,0.2626,0.25488,0.76939,2.68227e-05,2.68227e-05,2.68227e-05
