epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1477.21,0.39077,0.4038,0.84927,0.91037,0.90098,0.94483,0.91234,0.3069,0.42478,0.79586,0.000525179,0.000525179,0.000525179
43,1512.93,0.38191,0.39648,0.84738,0.91021,0.90504,0.94665,0.91339,0.30677,0.41474,0.79599,0.0005075,0.0005075,0.0005075
44,1548.69,0.38089,0.39408,0.84812,0.9164,0.90448,0.94763,0.9137,0.30395,0.41161,0.79463,0.000489821,0.000489821,0.000489821
45,1587.2,0.38107,0.39416,0.84737,0.92811,0.88991,0.94497,0.91226,0.30528,0.42566,0.79542,0.000472143,0.000472143,0.000472143
46,1624.27,0.3716,0.38123,0.8427,0.9211,0.89463,0.94975,0.91882,0.29573,0.40387,0.79331,0.000454464,0.000454464,0.000454464
47,1660.91,0.37322,0.38907,0.84372,0.9062,0.90607,0.94716,0.91417,0.29887,0.40869,0.79407,0.000436786,0.000436786,0.000436786
48,1696.7,0.37361,0.38624,0.84566,0.91775,0.89592,0.94229,0.91107,0.30559,0.43426,0.79623,0.000419107,0.000419107,0.000419107
49,1733.75,0.36864,0.38688,0.84408,0.91505,0.90224,0.94687,0.91714,0.29072,0.41088,0.79317,0.000401429,0.000401429,0.000401429
50,1769.8,0.36678,0.379,0.84275,0.90513,0.91156,0.94719,0.91569,0.29546,0.40283,0.79345,0.00038375,0.00038375,0.00038375
51,1806.77,0.3697,0.37992,0.8435,0.92776,0.88295,0.93939,0.90801,0.3023,0.43541,0.79546,0.000366071,0.000366071,0.000366071
52,1842.36,0.36578,0.37745,0.84335,0.92564,0.88343,0.9394,0.90982,0.29757,0.4333,0.7944,0.000348393,0.000348393,0.000348393
53,1878.17,0.35893,0.37275,0.84152,0.92751,0.89133,0.94696,0.91702,0.28936,0.4093,0.79268,0.000330714,0.000330714,0.000330714
54,1913.95,0.3639,0.37288,0.8433,0.9203,0.89669,0.94716,0.91782,0.28655,0.41303,0.79181,0.000313036,0.000313036,0.000313036
55,1949.32,0.35738,0.36953,0.84094,0.91184,0.91045,0.94928,0.91898,0.2917,0.39923,0.79207,0.000295357,0.000295357,0.000295357
56,1984.99,0.35445,0.36869,0.84161,0.9252,0.89973,0.94844,0.91801,0.2901,0.40506,0.79228,0.000277679,0.000277679,0.000277679
57,2021.62,0.35834,0.36748,0.84108,0.91584,0.91205,0.94666,0.91538,0.29292,0.41138,0.79291,0.00026,0.00026,0.00026
58,2057.59,0.35002,0.36217,0.8389,0.91198,0.91609,0.94815,0.91814,0.29127,0.40923,0.79258,0.000242321,0.000242321,0.000242321
59,2092.65,0.35014,0.36276,0.84053,0.91351,0.91265,0.94791,0.91737,0.29021,0.40821,0.79301,0.000224643,0.000224643,0.000224643
60,2128.03,0.34964,0.36434,0.84037,0.93101,0.89735,0.94815,0.91987,0.2822,0.40468,0.79194,0.000206964,0.000206964,0.000206964
61,2180.05,0.30152,0.32162,0.80798,0.92431,0.9002,0.94893,0.92033,0.27936,0.40294,0.79041,0.000189286,0.000189286,0.000189286
62,2214.94,0.28797,0.30957,0.80562,0.92139,0.90622,0.94876,0.92035,0.27983,0.40178,0.78956,0.000171607,0.000171607,0.000171607
63,2250.46,0.28273,0.30466,0.80415,0.91913,0.90842,0.94795,0.91897,0.28443,0.40578,0.79184,0.000153929,0.000153929,0.000153929
64,2285.82,0.2836,0.30227,0.80295,0.92156,0.90387,0.94663,0.91925,0.27701,0.41026,0.79064,0.00013625,0.00013625,0.00013625
65,2321.09,0.27896,0.29836,0.80319,0.91963,0.90695,0.9466,0.91888,0.27823,0.40952,0.79048,0.000118571,0.000118571,0.000118571
66,2356.01,0.27349,0.29244,0.80181,0.92541,0.90203,0.94711,0.91989,0.27508,0.40811,0.78993,0.000100893,0.000100893,0.000100893
67,2390.94,0.27162,0.28905,0.80177,0.91375,0.91275,0.94675,0.91993,0.27361,0.40506,0.79076,8.32143e-05,8.32143e-05,8.32143e-05
68,2426.17,0.2711,0.28543,0.80021,0.91495,0.9131,0.94544,0.91825,0.27574,0.4131,0.79244,6.55357e-05,6.55357e-05,6.55357e-05
69,2461.03,0.26783,0.28388,0.80019,0.92532,0.90205,0.94528,0.91792,0.27553,0.41384,0.7922,4.78571e-05,4.78571e-05,4.78571e-05
70,2496.16,0.26523,0.28162,0.8009,0.9191,0.91092,0.94631,0.91955,0.27262,0.40929,0.79139,3.01786e-05,3.01786e-05,3.01786e-05
